event_var,beta,se,pval,ci_low,ci_high,beta_t,beta_t1,gamma0,gamma1,n_obs,r2_within
housing,122.62690401822329,,,,,36729481.56927927,-36729358.94237525,1.0,0.0,17381.0,0.9889905047470102
commercial_inc,-6674787391.719787,,,,,-3344660033.48813,-3330127358.2316566,1.0,0.0,17381.0,0.9889905047470102
transit_dec,-18213081.889108796,,,,,-18212486.884809617,-595.0042991769097,1.0,0.0,17381.0,0.9889905047470102
public_edu_medical_inc,-130.6224385169947,,,,,-1.1958560584052986e-13,-130.62243851699458,1.0,0.0,17381.0,0.9889905047470102
housing_inc,-120.94529060646892,,,,,32033752.603584886,-32033873.548875492,1.0,0.0,17381.0,0.9889905047470102
commercial,6674787391.933259,,,,,3281126742.6730113,3393660649.2602477,0.49157022538850914,0.5084297746114909,17381.0,0.9889905047470102
employment_inc,24.79901964164655,,,,,4.530553901227394e-16,24.79901964164655,1.8269084692440627e-17,1.0,17381.0,0.9889905047470102
disaster_dec,77101743.51687002,,,,,77101743.51687002,-1.6821246570230075e-15,1.0,0.0,17381.0,0.9889905047470102
transit,18211938.304289002,,,,,18212096.169985574,-157.8656965722483,1.0,0.0,17381.0,0.9889905047470102
disaster,-77100672.73284142,,,,,-77100672.73284142,6.119362617428046e-14,1.0,0.0,17381.0,0.9889905047470102
transit_inc,156.02459385616538,,,,,4.740029521410859e-14,156.02459385616532,3.038001512620861e-16,0.9999999999999997,17381.0,0.9889905047470102
housing_dec,-119.06036197021604,,,,,-18625759.24144131,18625640.18107934,0.0,1.0,17381.0,0.9889905047470102
policy_boundary_dec,1115.9572565213477,,,,,1115.9572565213477,-5.474829828822877e-16,1.0,0.0,17381.0,0.9889905047470102
employment,-24.58254488844476,,,,,1.7586282632366368e-14,-24.58254488844478,1.0,0.0,17381.0,0.9889905047470102
employment_dec,-684.6499123743215,,,,,-7.004471069455033e-15,-684.6499123743215,1.0,0.0,17381.0,0.9889905047470102
public_edu_medical_dec,1279.1198558943984,,,,,-6.286142861517738e-15,1279.1198558943984,0.0,1.0,17381.0,0.9889905047470102
policy_boundary_inc,-654.970998457908,,,,,-654.970998457908,1.949534253666449e-14,1.0,0.0,17381.0,0.9889905047470102
commercial_dec,-6674787431.215581,,,,,-3337393715.6077905,-3337393715.6077905,1.0,0.0,17381.0,0.9889905047470102
public_edu_medical,131.05160492840875,,,,,-7.36871988256691e-15,131.05160492840875,0.0,1.0,17381.0,0.9889905047470102
policy_boundary,-652.0116668134126,,,,,-652.0116668134126,8.315349790075558e-16,1.0,0.0,17381.0,0.9889905047470102
unknown_dec,4.371163766054488e-17,7.664054201236401e-20,,4.356142219820065e-17,4.386185312288911e-17,-2.1154457466754718e-17,6.48660951272996e-17,1.0,0.0,17381.0,0.9889905047470102
unknown_inc,1.9427437426219794e-15,1.2658118974835267e-19,,1.9424956434900728e-15,1.942991841753886e-15,1.989377931431159e-15,-4.663418880917956e-17,1.0,0.0,17381.0,0.9889905047470102
disaster_inc,77100743.68791096,,,,,77100743.68791096,2.256274535868606e-16,1.0,2.9263978892364165e-24,17381.0,0.9889905047470102
