町丁名,出現回数,全ファイル数,一貫性,欠損ファイル数,欠損ファイル
京塚本町,28,28,True,0,
北迫町,28,28,True,0,
保田窪本町,28,28,True,0,
石原町,28,28,True,0,
小島下町,28,28,True,0,
通町,28,28,True,0,
錦ケ丘,28,28,True,0,
小山町,28,28,True,0,
河内町野出,28,28,True,0,
広木町,28,28,True,0,
国府本町,28,28,True,0,
内坪井町,28,28,True,0,
荒尾町,28,28,True,0,
河内町船津,28,28,True,0,
八王寺町,28,28,True,0,
河原町,28,28,True,0,
鹿子木町,28,28,True,0,
慶徳堀町,28,28,True,0,
東京塚町（中央区）,13,28,False,15,15ファイル
水前寺公園,28,28,True,0,
飛田町,28,28,True,0,
画図町大字上無田,28,28,True,0,
花畑町,28,28,True,0,
田迎町大字田井島,28,28,True,0,
京町本丁（中央区）,13,28,False,15,15ファイル
鶴羽田町,28,28,True,0,
八島町,28,28,True,0,
清水町大字室園,28,28,True,0,
画図町大字所島,28,28,True,0,
美登里町,28,28,True,0,
貢町,28,28,True,0,
八分字町,28,28,True,0,
吉原町,28,28,True,0,
上南部町,28,28,True,0,
春竹町大字春竹,28,28,True,0,
硯川町,28,28,True,0,
中原町,28,28,True,0,
城山上代町,28,28,True,0,
神水本町（中央区）,13,28,False,15,15ファイル
谷尾崎町,28,28,True,0,
南坪井町,28,28,True,0,
孫代町,28,28,True,0,
上鍛冶屋町,28,28,True,0,
大江本町,28,28,True,0,
上通町,28,28,True,0,
城東町,28,28,True,0,
昭和町,28,28,True,0,
健軍本町,28,28,True,0,
上林町,28,28,True,0,
河内町岳,28,28,True,0,
清水町大字打越,28,28,True,0,
岡田町,28,28,True,0,
白石町,28,28,True,0,
鹿帰瀬町,28,28,True,0,
世安町,28,28,True,0,
近見町,28,28,True,0,
下硯川町,28,28,True,0,
改寄町,28,28,True,0,
河内町東門寺,28,28,True,0,
画図町大字下無田,28,28,True,0,
妙体寺町,28,28,True,0,
画図町大字下江津,28,28,True,0,
京町本丁,28,28,True,0,
楠野町,28,28,True,0,
沖新町,28,28,True,0,
今町,28,28,True,0,
草葉町,28,28,True,0,
津浦町,28,28,True,0,
西梶尾町,28,28,True,0,
東京塚町,28,28,True,0,
松尾町上松尾,28,28,True,0,
戸島町,28,28,True,0,
中江町,28,28,True,0,
横紺屋町,28,28,True,0,
室園町（中央区）,13,28,False,15,15ファイル
栄町,28,28,True,0,
田崎本町,28,28,True,0,
段山本町,28,28,True,0,
打越町,28,28,True,0,
古桶屋町,28,28,True,0,
古大工町,28,28,True,0,
河内町河内,28,28,True,0,
明徳町,28,28,True,0,
上京塚町,28,28,True,0,
御幸木部町,28,28,True,0,
秋津町秋田,28,28,True,0,
戸坂町,28,28,True,0,
水道町,28,28,True,0,
古城町,28,28,True,0,
和泉町,28,28,True,0,
新市街,28,28,True,0,
中島町,28,28,True,0,
琴平本町,28,28,True,0,
河内町面木,28,28,True,0,
萩原町,28,28,True,0,
東阿弥陀寺町,28,28,True,0,
松尾町平山,28,28,True,0,
田迎町大字良町,28,28,True,0,
紺屋今町,28,28,True,0,
清水本町,28,28,True,0,
会富町,28,28,True,0,
土河原町,28,28,True,0,
護藤町,28,28,True,0,
出町,28,28,True,0,
松尾町近津,28,28,True,0,
神水本町,28,28,True,0,
四方寄町,28,28,True,0,
中央街,28,28,True,0,
奥古閑町,28,28,True,0,
古京町,28,28,True,0,
徳王町,28,28,True,0,
子飼本町,28,28,True,0,
平山町,28,28,True,0,
中無田町,28,28,True,0,
南高江町,28,28,True,0,
御幸笛田町,28,28,True,0,
板屋町,28,28,True,0,
太郎迫町,28,28,True,0,
川端町,28,28,True,0,
練兵町,28,28,True,0,
東本町,28,28,True,0,
並建町,28,28,True,0,
乗越ヶ丘,28,28,True,0,
古川町,28,28,True,0,
砂原町,28,28,True,0,
薄場町,28,28,True,0,
本荘町,28,28,True,0,
菅原町,28,28,True,0,
鍛冶屋町,28,28,True,0,
銭塘町,28,28,True,0,
宮内,28,28,True,0,
総数,28,28,True,0,
榎町,28,28,True,0,
釜尾町,28,28,True,0,
東子飼町,28,28,True,0,
桜町,28,28,True,0,
河内町白浜,28,28,True,0,
八王寺町（中央区）,13,28,False,15,15ファイル
安政町,28,28,True,0,
北千反畑町,28,28,True,0,
御幸西無田町,28,28,True,0,
大鳥居町,28,28,True,0,
千葉城町,28,28,True,0,
小島上町,28,28,True,0,
小沢町,28,28,True,0,
稗田町,28,28,True,0,
梶尾町,28,28,True,0,
松原町,28,28,True,0,
南町,28,28,True,0,
紺屋阿弥陀寺町,28,28,True,0,
元三町,28,28,True,0,
井川淵町,28,28,True,0,
秋津新町,28,28,True,0,
清水町大字松崎,28,28,True,0,
田崎町,28,28,True,0,
内田町,28,28,True,0,
室園町,28,28,True,0,
池上町,28,28,True,0,
清水東町,28,28,True,0,
新鍛冶屋町,28,28,True,0,
万楽寺町,28,28,True,0,
山崎町,28,28,True,0,
手取本町,28,28,True,0,
池亀町,28,28,True,0,
西子飼町,28,28,True,0,
薬園町,28,28,True,0,
弓削町,28,28,True,0,
清水亀井町,28,28,True,0,
画図町大字重富,28,28,True,0,
立福寺町,28,28,True,0,
二の丸,28,28,True,0,
河内町大多尾,28,28,True,0,
小糸山町,28,28,True,0,
西阿弥陀寺町,28,28,True,0,
南千反畑町,28,28,True,0,
本丸,28,28,True,0,
辛島町,28,28,True,0,
龍田町弓削,28,28,True,0,
本山町,28,28,True,0,
黒髪町大字坪井,28,28,True,0,
弥生町,28,28,True,0,
秋津町沼山津,28,28,True,0,
